,id,siteID,year,breakup,JulianDay,breakupdate,march1,days_since_march1
1902,4222,Tanana River at Nenana,1980,1980-04-29,120,1980-04-29,1980-03-01,59
1882,4223,Tanana River at Nenana,1981,1981-04-30,120,1981-04-30,1981-03-01,60
1861,4224,Tanana River at Nenana,1982,1982-05-10,130,1982-05-10,1982-03-01,70
1832,4225,Tanana River at Nenana,1983,1983-04-29,119,1983-04-29,1983-03-01,59
1808,4226,Tanana River at Nenana,1984,1984-05-09,130,1984-05-09,1984-03-01,69
1772,4227,Tanana River at Nenana,1985,1985-05-11,131,1985-05-11,1985-03-01,71
1731,4228,Tanana River at Nenana,1986,1986-05-08,128,1986-05-08,1986-03-01,68
1685,4229,Tanana River at Nenana,1987,1987-05-05,125,1987-05-05,1987-03-01,65
1648,4230,Tanana River at Nenana,1988,1988-04-27,118,1988-04-27,1988-03-01,57
1605,4231,Tanana River at Nenana,1989,1989-05-01,121,1989-05-01,1989-03-01,61
1565,4232,Tanana River at Nenana,1990,1990-04-24,114,1990-04-24,1990-03-01,54
1528,4233,Tanana River at Nenana,1991,1991-05-01,121,1991-05-01,1991-03-01,61
1489,4234,Tanana River at Nenana,1992,1992-05-14,135,1992-05-14,1992-03-01,74
1449,4235,Tanana River at Nenana,1993,1993-04-24,114,1993-04-24,1993-03-01,54
1405,4236,Tanana River at Nenana,1994,1994-04-29,119,1994-04-29,1994-03-01,59
1367,4237,Tanana River at Nenana,1995,1995-04-26,116,1995-04-26,1995-03-01,56
1330,4238,Tanana River at Nenana,1996,1996-05-06,127,1996-05-06,1996-03-01,66
1292,4239,Tanana River at Nenana,1997,1997-04-30,120,1997-04-30,1997-03-01,60
1251,4240,Tanana River at Nenana,1998,1998-04-20,110,1998-04-20,1998-03-01,50
1209,4339,Tanana River at Nenana,1999,1999-04-29,119,1999-04-29,1999-03-01,59
1168,4242,Tanana River at Nenana,2000,2000-05-01,122,2000-05-01,2000-03-01,61
1126,4243,Tanana River at Nenana,2001,2001-05-08,128,2001-05-08,2001-03-01,68
1082,4244,Tanana River at Nenana,2002,2002-05-07,127,2002-05-07,2002-03-01,67
1032,4350,Tanana River at Nenana,2003,2003-04-29,119,2003-04-29,2003-03-01,59
986,4368,Tanana River at Nenana,2004,2004-04-24,115,2004-04-24,2004-03-01,54
938,4369,Tanana River at Nenana,2005,2005-04-28,118,2005-04-28,2005-03-01,58
885,4378,Tanana River at Nenana,2006,2006-05-07,127,2006-05-07,2006-03-01,67
832,4388,Tanana River at Nenana,2007,2007-04-27,117,2007-04-27,2007-03-01,57
781,4396,Tanana River at Nenana,2008,2008-05-06,127,2008-05-06,2008-03-01,66
731,4411,Tanana River at Nenana,2009,2009-05-01,121,2009-05-01,2009-03-01,61
676,4417,Tanana River at Nenana,2010,2010-04-29,119,2010-04-29,2010-03-01,59
624,4426,Tanana River at Nenana,2011,2011-05-04,124,2011-05-04,2011-03-01,64
577,4437,Tanana River at Nenana,2012,2012-04-23,114,2012-04-23,2012-03-01,53
524,4453,Tanana River at Nenana,2013,2013-05-20,140,2013-05-20,2013-03-01,80
453,6576,Tanana River at Nenana,2014,2014-04-25,115,2014-04-25,2014-03-01,55
394,6650,Tanana River at Nenana,2015,2015-04-24,114,2015-04-24,2015-03-01,54
374,6749,Tanana River at Nenana,2016,2016-04-23,114,2016-04-23,2016-03-01,53
301,6783,Tanana River at Nenana,2017,2017-05-01,121,2017-05-01,2017-03-01,61
277,6906,Tanana River at Nenana,2018,2018-05-01,121,2018-05-01,2018-03-01,61
199,6927,Tanana River at Nenana,2019,2019-04-14,104,2019-04-14,2019-03-01,44
150,6977,Tanana River at Nenana,2020,2020-04-27,118,2020-04-27,2020-03-01,57
102,7047,Tanana River at Nenana,2021,2021-04-30,120,2021-04-30,2021-03-01,60
52,7129,Tanana River at Nenana,2022,2022-05-02,122,2022-05-02,2022-03-01,62
5,7190,Tanana River at Nenana,2023,2023-05-08,128,2023-05-08,2023-03-01,68
