# Correlations from linear regression between last Nenana ice thickness and breakupdate, linear trends removed 
# Data sent by Bob Busey, after Nenana Ice Classic site (cleaned up)
# 
,location,slope,R2,r_value,p_value,std_err
0,Chena River at Fairbanks,0.5692452307481418,0.30140851495765786,0.5490068441810702,0.003020475176524004,0.17332582724559045
1,Kuskokwim River at Nikolai,0.5635891334940539,0.2844373513289382,0.5333266834960897,0.001162762329565277,0.15802221329031158
2,Gakona River at Gakona,0.04021999927656033,0.000749394739145439,0.027375075144105795,0.8879008679457524,0.28264549410174233
3,Gulkana River nr Gakona,0.09961563941081727,0.005246765525952039,0.07243456030067442,0.7036614066845522,0.25921513956108777
4,Tanana River at Nenana,0.4091468112829289,0.1675632368285507,0.40934488738538155,0.014612968601966295,0.158748070828929
5,Yukon River at Dawson,0.20886896098104388,0.08831269514264521,0.2971745196726079,0.08297707731951129,0.11682299084878642
6,Yentna River at Lake Creek,0.2928938816750394,0.10628509351198326,0.3260139468059354,0.08436079865773188,0.16345256454564064
7,Susitna River at Sunshine,0.15501085916743856,0.03313772473651242,0.18203770141515307,0.36347532389391635,0.16746076996814177
8,Yukon River at Eagle,0.1983317468550355,0.05271270088123562,0.229592466952284,0.18458734556565334,0.1463586819763199
9,Kuskokwim River at Stony River,0.20935675185914154,0.048901538548475336,0.22113692262594986,0.23188712185858734,0.17145077425701327
10,Kuskokwim River at Sleetmute,0.387719517101571,0.14241541011606457,0.3773796630928389,0.03635731491248665,0.17667644663689355
11,Tanana River nr Manley Hot Springs,0.35832449613330997,0.12310199047247293,0.3508589324393394,0.07275162118870758,0.19127072279808416
12,Kuskokwim River at McGrath,0.27610741884696327,0.07629556899180728,0.27621652555885806,0.10823059447986107,0.16723915380973778
13,Kuskokwim River at Red Devil,0.2755529825068916,0.07717543885973827,0.2778046775339434,0.11750691949775577,0.1711371470042201
14,Kuskokwim River at Crooked Creek,0.4051306939323021,0.16444776202334319,0.4055215925488348,0.023617439011731942,0.16957778902227955
15,Koyukuk River at Allakaket,0.05483999957248191,0.003116981742346449,0.055829935897746194,0.7576311867097396,0.17614550521554823
16,Yukon River at Tanana,0.17757403070859945,0.044533657049472715,0.2110299908768247,0.25446459321446796,0.15273689947712737
17,Yukon River at Fort Yukon,0.19825894941329283,0.06009731610910341,0.24514753947185236,0.16229164975479637,0.13860270864962865
18,Yukon River at Circle,0.20744478642082168,0.06431172653307492,0.2535975680740549,0.14784516191279493,0.13987755878467595
19,Koyukuk River at Bettles,0.09137978984633843,0.009000264311638577,0.0948697228394738,0.5877504965749125,0.16691767336423755
20,Koyukuk River at Hughes,0.06495961117245977,0.0035839320555415065,0.05986595071943238,0.7533324394942887,0.20469388947997857
21,Kuskokwim River at Aniak,0.3785088365003203,0.11591709094307094,0.34046599087584495,0.04535877927365386,0.18196665576362242
22,Yukon River at Ruby,0.2011705916029473,0.0522630256559662,0.2286110794689667,0.21608454733414717,0.1590787361411345
23,Kuskokwim River at Kalskag,0.3267988531856537,0.10219057760873164,0.319672610038351,0.06975620260006629,0.17397479339832866
24,Kuskokwim River at Tuluksak,0.3033375653676017,0.07775511989137576,0.2788460505213867,0.13565083357236576,0.1974266652302375
25,Kuskokwim River at Akiak,0.35673321001218894,0.09980382146919299,0.31591742824540875,0.06873942699620755,0.18939283708244115
26,Yukon River at Galena,0.2941938443794852,0.11962401047307918,0.3458670416114828,0.04183500070457374,0.13893175669921298
27,Kuskokwim River at Bethel,0.5211020429545655,0.16420085534646547,0.40521704720614293,0.01574210152906618,0.20465815729157663
28,Yukon River at Kaltag,0.2569038981157283,0.07033304983680466,0.26520378925800564,0.14239060417314117,0.17052734784333512
29,Yukon River at Holy Cross,0.24992721228736534,0.05914681458128816,0.24320118129089785,0.17983658207960046,0.18199026920676528
30,Yukon River at Anvik,0.26434067478606754,0.07183236913579741,0.26801561360450143,0.1521561741689395,0.17957178214312372
31,Buckland River at Buckland,0.2663799496529476,0.05893843905477173,0.24277240175681364,0.213210373027591,0.20874907554659128
32,Kobuk River at Kobuk,0.11682185193065675,0.01470809523426261,0.12127693611838407,0.5013874468413659,0.17173051820277183
33,Yukon River at Russian Mission,0.29022235319806206,0.07805276363748086,0.27937924696992233,0.12798728835396295,0.18522122457674892
34,Yukon River at Mountain Village,0.31049939407068433,0.08290245787440206,0.2879278692214459,0.1100397169843108,0.18854898163374587
35,Yukon River at Alakanuk,0.2881464580082073,0.06834933903491515,0.261437065151281,0.16286107109892814,0.20104517673759179
36,Yukon River nr Emmonak,0.3056843478180512,0.07648335144256327,0.2765562355879239,0.12545908075955797,0.19393289646910014
37,Yukon River at Marshall,0.3326788777683829,0.08684328551000264,0.2946918483942212,0.14390018476645855,0.2202034619909971
38,Chisana River at Northway,0.3988396526287169,0.27213593103809824,0.521666494072696,0.007484379540408998,0.13600867455975152
39,Kobuk River at Ambler,0.12626742078057002,0.014575282543509737,0.1207281348464795,0.5176735209609593,0.19279490162853138
40,Kobuk River at Shungnak,0.17832646591628099,0.03403444766542396,0.1844842748459173,0.3569513822142424,0.1900059777933307
